"bigram","count"
"明月","5"
"一杯","4"
"風吹","4"
"不知","4"
"青山","3"
"日暮","3"
"不盡","3"
"春風","3"
"桃花","3"
"山中","3"
"故鄉","3"
"松風","3"
"疑是","3"
"千里","3"
"流水","3"
"何處","3"
"相逢","3"
"不覺","2"
"處處","2"
"風雨","2"
"花落","2"
"江上","2"
"孤帆","2"
"漫漫","2"
"半江","2"
"晚來","2"
"王孫","2"
"夜半","2"
"不多","2"
"無覓","2"
"覓處","2"
"人間","2"
"山寺","2"
"晚風","2"
"南斗","2"
"彈琴","2"
"深林","2"
"空山","2"
"自可","2"
"湖上","2"
"上一","2"
"無人","2"
"寒梅","2"
"秋雨","2"
"雨中","2"
"君問","2"
"溪橋","2"
"兩岸","2"
"萬重","2"
"徘徊","2"
"無限","2"
"闌干","2"
"碧山","2"
"花開","2"
"流直","2"
"三千","2"
"流螢","2"
"寒燈","2"
"愁眠","2"
"家書","2"
"落葉","2"
"一樹","2"
"十年","2"
"一聲","2"
"行人","2"
"巴山","2"
"山夜","2"
"夜雨","2"
"清溪","2"
"不相","2"
"相識","2"
"月夜","2"
"故園","2"
"馬上","2"
"不歸","2"
"夜人","2"
"昨夜","2"
"洛陽","2"
"陽城","2"
"秋風","2"
"柳條","2"
"靜中","2"
"黃金","2"
"春眠","1"
"眠不","1"
"覺曉","1"
"處聞","1"
"聞啼","1"
"啼鳥","1"
"夜來","1"
"來風","1"
"雨聲","1"
"落知","1"
"知多","1"
"多少","1"
"故人","1"
"人具","1"
"具雞","1"
"雞黍","1"
"邀我","1"
"我至","1"
"至田","1"
"田家","1"
"綠樹","1"
"樹村","1"
"村邊","1"
"邊合","1"
"山郭","1"
"郭外","1"
"外斜","1"
"開軒","1"
"軒面","1"
"面場","1"
"場圃","1"
"把酒","1"
"酒話","1"
"話桑","1"
"桑麻","1"
"待到","1"
"到重","1"
"重陽","1"
"陽日","1"
"還來","1"
"來就","1"
"就菊","1"
"菊花","1"
"移舟","1"
"舟泊","1"
"泊煙","1"
"煙渚","1"
"暮客","1"
"客愁","1"
"愁新","1"
"野曠","1"
"曠天","1"
"天低","1"
"低樹","1"
"江清","1"
"清月","1"
"月近","1"
"近人","1"
"木落","1"
"落雁","1"
"雁南","1"
"南度","1"
"北風","1"
"風江","1"
"上寒","1"
"我家","1"
"家襄","1"
"襄水","1"
"水曲","1"
"遙隔","1"
"隔楚","1"
"楚雲","1"
"雲端","1"
"鄉淚","1"
"淚客","1"
"客中","1"
"中盡","1"
"帆天","1"
"天際","1"
"際看","1"
"迷津","1"
"津欲","1"
"欲有","1"
"有問","1"
"平海","1"
"海夕","1"
"夕漫","1"
"向夕","1"
"夕問","1"
"問舟","1"
"舟子","1"
"前程","1"
"程復","1"
"復幾","1"
"幾多","1"
"灣頭","1"
"頭正","1"
"正堪","1"
"堪泊","1"
"淮裏","1"
"裏足","1"
"足風","1"
"風波","1"
"一道","1"
"道殘","1"
"殘陽","1"
"陽鋪","1"
"鋪水","1"
"水中","1"
"江瑟","1"
"瑟瑟","1"
"瑟半","1"
"江紅","1"
"可憐","1"
"憐九","1"
"九月","1"
"月初","1"
"初三","1"
"三夜","1"
"露似","1"
"似真","1"
"真珠","1"
"珠月","1"
"月似","1"
"似弓","1"
"已訝","1"
"訝衾","1"
"衾枕","1"
"枕冷","1"
"復見","1"
"見窗","1"
"窗户","1"
"户明","1"
"夜深","1"
"深知","1"
"知雪","1"
"雪重","1"
"時聞","1"
"聞折","1"
"折竹","1"
"竹聲","1"
"綠蟻","1"
"蟻新","1"
"新醅","1"
"醅酒","1"
"紅泥","1"
"泥小","1"
"小火","1"
"火爐","1"
"來天","1"
"天欲","1"
"欲雪","1"
"能飲","1"
"飲一","1"
"杯無","1"
"離離","1"
"離原","1"
"原上","1"
"上草","1"
"一歲","1"
"歲一","1"
"一枯","1"
"枯榮","1"
"野火","1"
"火燒","1"
"燒不","1"
"吹又","1"
"又生","1"
"遠芳","1"
"芳侵","1"
"侵古","1"
"古道","1"
"晴翠","1"
"翠接","1"
"接荒","1"
"荒城","1"
"又送","1"
"送王","1"
"孫去","1"
"萋萋","1"
"萋滿","1"
"滿別","1"
"別情","1"
"花非","1"
"非花","1"
"霧非","1"
"非霧","1"
"半來","1"
"天明","1"
"明去","1"
"來如","1"
"如春","1"
"春夢","1"
"夢不","1"
"多時","1"
"去似","1"
"似朝","1"
"朝雲","1"
"雲無","1"
"間四","1"
"四月","1"
"月芳","1"
"芳菲","1"
"菲盡","1"
"寺桃","1"
"花始","1"
"始盛","1"
"盛開","1"
"長恨","1"
"恨春","1"
"春歸","1"
"歸無","1"
"知轉","1"
"轉入","1"
"入此","1"
"此中","1"
"中來","1"
"幽意","1"
"意無","1"
"無斷","1"
"斷絕","1"
"此去","1"
"去隨","1"
"隨所","1"
"所偶","1"
"吹行","1"
"行舟","1"
"花路","1"
"路入","1"
"入溪","1"
"溪口","1"
"際夜","1"
"夜轉","1"
"轉西","1"
"西壑","1"
"隔山","1"
"山望","1"
"望南","1"
"潭煙","1"
"煙飛","1"
"飛溶","1"
"溶溶","1"
"林月","1"
"月低","1"
"低向","1"
"向後","1"
"生事","1"
"事且","1"
"且彌","1"
"彌漫","1"
"願爲","1"
"爲持","1"
"持竿","1"
"竿叟","1"
"獨坐","1"
"坐幽","1"
"幽篁","1"
"篁里","1"
"琴復","1"
"復長","1"
"長嘯","1"
"林人","1"
"人不","1"
"月來","1"
"來相","1"
"相照","1"
"紅豆","1"
"豆生","1"
"生南","1"
"南國","1"
"春來","1"
"來發","1"
"發幾","1"
"幾枝","1"
"願君","1"
"君多","1"
"多采","1"
"采擷","1"
"此物","1"
"物最","1"
"最相","1"
"相思","1"
"山新","1"
"新雨","1"
"雨後","1"
"天氣","1"
"氣晚","1"
"來秋","1"
"月松","1"
"松間","1"
"間照","1"
"清泉","1"
"泉石","1"
"石上","1"
"上流","1"
"竹喧","1"
"喧歸","1"
"歸浣","1"
"浣女","1"
"蓮動","1"
"動下","1"
"下漁","1"
"漁舟","1"
"隨意","1"
"意春","1"
"春芳","1"
"芳歇","1"
"孫自","1"
"可留","1"
"山不","1"
"不見","1"
"見人","1"
"但聞","1"
"聞人","1"
"人語","1"
"語響","1"
"返景","1"
"景入","1"
"入深","1"
"復照","1"
"照青","1"
"青苔","1"
"苔上","1"
"吹簫","1"
"簫凌","1"
"凌極","1"
"極浦","1"
"暮送","1"
"送夫","1"
"夫君","1"
"一回","1"
"回首","1"
"山卷","1"
"卷白","1"
"白雲","1"
"木末","1"
"末芙","1"
"芙蓉","1"
"蓉花","1"
"中發","1"
"發紅","1"
"紅萼","1"
"澗戶","1"
"戶寂","1"
"寂無","1"
"紛紛","1"
"紛開","1"
"開且","1"
"且落","1"
"君自","1"
"自故","1"
"鄉來","1"
"應知","1"
"知故","1"
"鄉事","1"
"來日","1"
"日綺","1"
"綺窗","1"
"窗前","1"
"梅著","1"
"著花","1"
"花未","1"
"颯颯","1"
"颯秋","1"
"淺淺","1"
"淺石","1"
"石溜","1"
"溜瀉","1"
"跳波","1"
"波自","1"
"自相","1"
"相濺","1"
"白鷺","1"
"鷺驚","1"
"驚復","1"
"復下","1"
"晚年","1"
"年唯","1"
"唯好","1"
"好靜","1"
"萬事","1"
"事不","1"
"不關","1"
"關心","1"
"自顧","1"
"顧無","1"
"無長","1"
"長策","1"
"空知","1"
"知返","1"
"返舊","1"
"舊林","1"
"吹解","1"
"解帶","1"
"山月","1"
"月照","1"
"照彈","1"
"問窮","1"
"窮通","1"
"通理","1"
"漁歌","1"
"歌入","1"
"入浦","1"
"浦深","1"
"荊谿","1"
"谿白","1"
"白石","1"
"石出","1"
"天寒","1"
"寒紅","1"
"紅葉","1"
"葉稀","1"
"山路","1"
"路元","1"
"元無","1"
"無雨","1"
"空嵐","1"
"嵐濕","1"
"濕人","1"
"人衣","1"
"千山","1"
"山鳥","1"
"鳥飛","1"
"飛絕","1"
"萬徑","1"
"徑人","1"
"人蹤","1"
"蹤滅","1"
"孤舟","1"
"舟簑","1"
"簑笠","1"
"笠翁","1"
"獨釣","1"
"釣寒","1"
"寒江","1"
"江雪","1"
"杪秋","1"
"秋霜","1"
"霜露","1"
"露重","1"
"晨起","1"
"起行","1"
"行幽","1"
"幽谷","1"
"黃葉","1"
"葉覆","1"
"覆溪","1"
"荒村","1"
"村唯","1"
"唯古","1"
"古木","1"
"寒花","1"
"花疏","1"
"疏寂","1"
"寂歷","1"
"幽泉","1"
"泉微","1"
"微斷","1"
"斷續","1"
"機心","1"
"心久","1"
"久已","1"
"已忘","1"
"何事","1"
"事驚","1"
"驚麋","1"
"麋鹿","1"
"床前","1"
"前明","1"
"月光","1"
"是地","1"
"地上","1"
"上霜","1"
"舉頭","1"
"頭望","1"
"望明","1"
"低頭","1"
"頭思","1"
"思故","1"
"朝辭","1"
"辭白","1"
"白帝","1"
"帝彩","1"
"彩雲","1"
"雲間","1"
"里江","1"
"江陵","1"
"陵一","1"
"一日","1"
"日還","1"
"岸猿","1"
"猿聲","1"
"聲啼","1"
"啼不","1"
"不住","1"
"輕舟","1"
"舟已","1"
"已過","1"
"過萬","1"
"重山","1"
"花間","1"
"間一","1"
"一壺","1"
"壺酒","1"
"獨酌","1"
"酌無","1"
"無相","1"
"相親","1"
"舉杯","1"
"杯邀","1"
"邀明","1"
"對影","1"
"影成","1"
"成三","1"
"三人","1"
"月既","1"
"既不","1"
"不解","1"
"解飲","1"
"影徒","1"
"徒隨","1"
"隨我","1"
"我身","1"
"暫伴","1"
"伴月","1"
"月將","1"
"將影","1"
"行樂","1"
"樂須","1"
"須及","1"
"及春","1"
"我歌","1"
"歌月","1"
"月徘","1"
"我舞","1"
"舞影","1"
"影零","1"
"零亂","1"
"醒時","1"
"時同","1"
"同交","1"
"交歡","1"
"醉後","1"
"後各","1"
"各分","1"
"分散","1"
"永結","1"
"結無","1"
"無情","1"
"情遊","1"
"相期","1"
"期邈","1"
"邈雲","1"
"雲漢","1"
"危樓","1"
"樓高","1"
"高百","1"
"百尺","1"
"手可","1"
"可摘","1"
"摘星","1"
"星辰","1"
"不敢","1"
"敢高","1"
"高聲","1"
"聲語","1"
"恐驚","1"
"驚天","1"
"天上","1"
"上人","1"
"名花","1"
"花傾","1"
"傾國","1"
"國兩","1"
"兩相","1"
"相歡","1"
"長得","1"
"得君","1"
"君王","1"
"王帶","1"
"帶笑","1"
"笑看","1"
"解釋","1"
"釋春","1"
"風無","1"
"限恨","1"
"沈香","1"
"香亭","1"
"亭北","1"
"北倚","1"
"倚闌","1"
"問餘","1"
"餘何","1"
"何意","1"
"意棲","1"
"棲碧","1"
"笑而","1"
"而不","1"
"不答","1"
"答心","1"
"心自","1"
"自閒","1"
"花流","1"
"水窅","1"
"窅然","1"
"然去","1"
"別有","1"
"有天","1"
"天地","1"
"地非","1"
"非人","1"
"懶搖","1"
"搖白","1"
"白羽","1"
"羽扇","1"
"裸體","1"
"體青","1"
"青林","1"
"林中","1"
"脫巾","1"
"巾挂","1"
"挂石","1"
"石壁","1"
"露嵿","1"
